challenge_id|cluster_id
e3970ebb-2bdb-5f4a-a98f-b1c3180e2e71|0
712fa4f6-aeb6-57f5-ab2c-1a3da860fd43|0
f6483295-eb77-5681-adca-c5f4ec6ac617|0
7b9d7ac6-8bd7-57f1-ab10-421fe6ef121c|0
f9c16ada-553c-537c-bd51-91ab399e53e4|0
495295e9-a07d-56d4-a100-ef9c2d0b514e|0
3ae33649-180d-5f46-9264-121675d9ca85|0
9c251349-187f-5644-a1e2-baec4f1b4283|0
61ae0ff7-e01d-5890-aa68-e0be101f6c93|0
a10514f6-029b-52a3-9422-8d628e96bdb4|0
580d84d9-debc-53cb-a4dd-c915c29f4a42|0
e0e0710b-66de-553f-a8b7-39f6135eef06|0
801d252d-30ce-56a2-b23b-5356cd7533a3|0
2d238529-aa48-5301-a1aa-fc5f03e8370d|0
a261fff2-d2c1-5b8d-bf03-c142dc21f430|0
1fb0d11f-f5bf-5368-9627-58abb682967d|0
2dbae7c7-a69b-573e-a658-b8b46e1451b5|1
60651c0e-bc42-510c-b7a2-33f34d2fd8e9|1
c4933ed6-4073-52f7-8e20-2dde7ad1c706|1
46175a36-4281-5760-b85d-4286b4d12a48|1
aa619aaf-4678-5afc-bda2-bdc429e3ac7f|1
7b57e67f-53c6-539e-9934-fcf5d9c3eec5|1
13e4dee0-999c-5823-8500-5d2a8c8bcc54|1
4cfcef34-15b1-5d2c-8a53-cdab0915811b|1
6a5a5c95-53a3-5eeb-81a6-ce4ab132ecea|1
72d33e29-7a86-50a8-95e0-6c3b05269600|1
af81501f-7401-5fb9-91d8-8f1e863ea817|2
eeeab426-5fa7-5485-8cbe-e79684a51be5|2
3ab8f226-7ec6-5310-939e-c6c462d6f914|2
9268e92e-b64c-5fb6-892f-8e5a1a10c88a|2
e637312d-2df8-59f5-bb48-2fb76809418f|2
0b0ca4a4-90b1-549e-b036-64fde3b5b948|2
f649063f-207c-5ce6-a390-24739a81d2eb|3
c68adc48-a8f6-5b8d-a6cd-8315ed096f36|3
82c79f8c-ef04-557d-9000-c49717a6a9e1|3
37de283e-4e49-5600-aa2b-95f804f1b992|3
910aadc2-3e59-5262-8825-c753a921893f|3
f55a85ce-c714-5604-b3b6-4bf8ac8fc422|4
5a563f38-d03d-510d-acdc-ed6bc098ba34|4
e228598b-3ac3-52c5-9370-bc4856c77039|4
63cf2962-3ee7-5552-bdd3-3589c00f46a3|4
277718c6-12c3-5b38-90ae-5ae9b847091c|5
3ecb5e68-11a0-530e-ba7a-2b1b82376e66|5
a006c05f-5b2b-538c-84e9-402afd139e7a|5
56b85416-d30a-53d5-958f-04e9de706651|6
d7dc8a60-f878-5ed4-adca-90ee9bbe9f7a|6
