challenge_id|cluster_id
e228598b-3ac3-52c5-9370-bc4856c77039|0
9500030f-f40a-5eb6-8543-69e331beb46a|0
dfe952dc-9687-571f-ace7-c648d9379213|0
712fa4f6-aeb6-57f5-ab2c-1a3da860fd43|0
06a92fa6-3549-5338-b5a8-026f7cc314af|0
f6483295-eb77-5681-adca-c5f4ec6ac617|0
f9c16ada-553c-537c-bd51-91ab399e53e4|0
495295e9-a07d-56d4-a100-ef9c2d0b514e|0
dd4a184f-2d03-566a-b4c8-575029a4c93f|0
61ae0ff7-e01d-5890-aa68-e0be101f6c93|0
ba0fc66f-58ac-593f-8ddb-77eb98ef212e|0
1c8de55d-e771-5756-a9ed-bc64da5753f4|0
580d84d9-debc-53cb-a4dd-c915c29f4a42|0
801d252d-30ce-56a2-b23b-5356cd7533a3|0
2d238529-aa48-5301-a1aa-fc5f03e8370d|0
a261fff2-d2c1-5b8d-bf03-c142dc21f430|0
8ed2de42-071a-58b7-9397-9f3e1488589f|0
9c251349-187f-5644-a1e2-baec4f1b4283|0
1fb0d11f-f5bf-5368-9627-58abb682967d|0
a006c05f-5b2b-538c-84e9-402afd139e7a|0
840056cf-7959-5406-82cf-1e7a5b5aa84c|0
e3970ebb-2bdb-5f4a-a98f-b1c3180e2e71|0
87debe56-e113-54f6-b5e7-73059d20ed40|0
f55a85ce-c714-5604-b3b6-4bf8ac8fc422|0
ffade7ff-dbe1-554d-a764-9eae44f5f391|0
7b9d7ac6-8bd7-57f1-ab10-421fe6ef121c|0
3ae33649-180d-5f46-9264-121675d9ca85|0
277718c6-12c3-5b38-90ae-5ae9b847091c|0
bc2df2a9-f3a5-5a16-a47c-971356c9bb61|0
bdd6c2aa-e3aa-5daf-88d7-bb232decbfcf|0
a10514f6-029b-52a3-9422-8d628e96bdb4|0
e0e0710b-66de-553f-a8b7-39f6135eef06|0
43a132c6-a869-53aa-aa68-fc99a8b1839e|0
63cf2962-3ee7-5552-bdd3-3589c00f46a3|0
5a563f38-d03d-510d-acdc-ed6bc098ba34|1
60651c0e-bc42-510c-b7a2-33f34d2fd8e9|1
46175a36-4281-5760-b85d-4286b4d12a48|1
8de09992-de5c-5394-b9ed-eca5b2ced6e1|1
4cfcef34-15b1-5d2c-8a53-cdab0915811b|1
6a5a5c95-53a3-5eeb-81a6-ce4ab132ecea|1
22996ac4-2c7c-5c4f-83d2-427013d27c68|1
177daad2-ed99-5f26-9255-f4851fa2a932|1
daf1b0e3-7aed-5b1e-92b7-8eeb31ab704c|1
42ee6d1f-9e79-5bf8-8d2c-1343c7727807|1
4151db90-2108-5e05-b3fa-7800356d8713|1
2dbae7c7-a69b-573e-a658-b8b46e1451b5|1
dc3d7dee-9882-57b7-967c-22dce07ffb54|1
c4933ed6-4073-52f7-8e20-2dde7ad1c706|1
df45daf0-7c10-52c8-a346-d00ae015d660|1
aa619aaf-4678-5afc-bda2-bdc429e3ac7f|1
ae4a6376-ec89-538f-9740-4a188d5855ef|1
a730a612-0c8f-51c0-b3c2-941b6036a5ff|1
7b57e67f-53c6-539e-9934-fcf5d9c3eec5|1
13e4dee0-999c-5823-8500-5d2a8c8bcc54|1
72d33e29-7a86-50a8-95e0-6c3b05269600|1
30bb0482-71da-5204-89d3-b6e5307dcfb5|1
37788a94-636c-5657-8be7-5e1c103598cf|2
286655df-6506-5cba-86ba-815a47de719a|2
166bd510-d7e9-556b-88e2-f0ff617a3fa4|2
22835f96-1902-570c-97c1-b20e15704a8d|2
3d697eaa-99d3-5774-a7e9-530a1f185cbc|2
0445adec-90a4-5a29-a2ca-3d6ed2105014|2
53b0f563-c1ba-53d5-b26b-3f691cf8f463|2
a3c195c3-af9a-5836-85de-c4a035fe8b57|2
3074ce6d-a35c-5730-a256-f5ea79107eee|2
3ecb5e68-11a0-530e-ba7a-2b1b82376e66|2
af81501f-7401-5fb9-91d8-8f1e863ea817|3
3ab8f226-7ec6-5310-939e-c6c462d6f914|3
c14eb945-7377-5b8c-897d-6e0930a00f74|3
e637312d-2df8-59f5-bb48-2fb76809418f|3
80c4a404-3b13-5349-85b7-1ed5f2c6f3d7|3
eeeab426-5fa7-5485-8cbe-e79684a51be5|3
9268e92e-b64c-5fb6-892f-8e5a1a10c88a|3
0de18996-5a65-5d75-b151-a01742441e34|3
0b0ca4a4-90b1-549e-b036-64fde3b5b948|3
12fa0890-128b-57f6-b8c3-d3b22d726456|4
455d7ce4-e9c0-5b3e-999c-7c82bc587d16|4
82c79f8c-ef04-557d-9000-c49717a6a9e1|4
f649063f-207c-5ce6-a390-24739a81d2eb|4
b874e02e-9b80-5c37-a75c-a5c09407cbd7|4
c68adc48-a8f6-5b8d-a6cd-8315ed096f36|4
37de283e-4e49-5600-aa2b-95f804f1b992|4
910aadc2-3e59-5262-8825-c753a921893f|4
a8d88b64-83f8-58e9-ae27-6b63416a01a6|5
56b85416-d30a-53d5-958f-04e9de706651|5
ebeb40a1-4513-5431-a3bf-e3f6bf7a2a42|5
d7dc8a60-f878-5ed4-adca-90ee9bbe9f7a|5
0eca5c70-0546-5498-b2d8-56c404df4cce|5
f77e97f2-552d-5658-a04b-3f210893e2dd|5
0b0bcb9f-6f34-5ec4-b31a-126006a1ba90|6
6505ab4f-3b9f-589d-b720-4f8630054b88|6
c49a2add-d381-5a6c-9db3-bf73e8a82f65|6
f01dcb82-23cb-57a6-a82b-06d085ca3138|6
dced5d3a-9bcf-5e2f-91c9-05d5d525300b|6
63ccbe12-eeb1-56cc-8b75-6364ef6c1316|6
389fccb9-a0f8-55f1-9a3b-8d50f4e7d917|7
628f636a-55a4-5939-9f01-326e397e3406|7
51dde622-6e3b-52f2-b918-fbe934dd0e9d|7
d073b909-eb63-59d4-bb87-ad38be936312|7
a6c60556-88fa-5b92-bbac-66210e66cca0|7
934bd461-43b5-53fc-8faf-95ea0d0cfa2b|8
9e0d9498-0ea4-5e91-8ddf-a51e8dba6a88|8
159ed094-5d48-52cb-8a34-00eeb045dda7|8
8638994e-fa48-5ebe-b402-4e64a08fc094|8
b966bf93-5d28-5216-878d-5e786c36d842|9
d396ad24-d1cd-57f2-98af-3d21654f45fe|9
e73c7f1b-54ca-5dcb-9bd7-cd4beff6b369|9
0ca285f4-b061-585a-897c-64776affb01a|9
29517683-04f6-5c74-943c-38dbf9633318|10
0258865f-b06e-5d80-b50b-1a93e2793c1c|10
